UserName,Date,"Star rating","Review Comment",Link
UnderAgeGambling,"August 09, 2017",,"this channel is only motivation videos.    DONT FORGET TO CHECK OUT UNDERAGEGAMBLING! FOR LOTS OF CRAAAAAAAAZY AND FUUUUUUUN CONTENT COMMING SOON!""!!!!!",
"Lovedeep Brar","August 09, 2017",,"The comment section is 50% useless. It will bring down your whole motivation",
"Chadwick Painter","August 09, 2017",,"What a load of shite.",
zNaqua,"August 09, 2017",,"Why do i dont give single fuck",
"Mila Michiels","August 09, 2017",,"shop it's actually   brilliant!resulw  nurse   ! !",
"Azixp Me","August 09, 2017",,"My big issue is that I feel like I have no goal in life, that I belong to nothing and I've really tried to find a passion or a goal in my life but all my efforts remained vain. It's really frustrating...",
"Fahad Ishtiaq","August 08, 2017",,"reading comments, smoking weed and feeling successfull",
"MRB 187","August 08, 2017",,"The only true deciding limits, besides the ones God himself puts on you, are the ones you allow yourself to live by. If you break those thoughts, those faulty beliefs, and you give everything you have towards your goal, you WILL do it. Sure, you'll occasionally fail, nobody is perfect, but so long as you get up, dust yourself off, and continue, you'll keep on winning. Every day. Every moment. Every time.",
"ANANDU PUSHPAN","August 08, 2017",,"This really opened my eyes!",
"Kushal Official","August 08, 2017",,"you're not the only one that wants to be the president.... 😨 focus on the good",
"J B","August 08, 2017",,"I tell myself - i'm gonna change i'm gonna do better and then ....i see myself on my bed with my phone",
"Kioussa neville","August 08, 2017",,"this video is so inspiring  thanx 😃",
"KoneDx KoneDx","August 08, 2017",,"So.. do this: 1- Rewind this video to start of it 2- Listen to it very very carefuly 3- All the time your're listenin to this video, think that this is ment and told for you 4- SPOLER ALERT !!! DO THIS STEP ONLY IF YOU DID ALL PREVIOUS ONES -->      At the end think - Ok ok ok mom, i will kill this fly..",
"Stephanie Munoz","August 08, 2017",,"Video was great, except when it was interrupted by advertising.",
"M Shyam","August 08, 2017",,"whatever you do... JUST make SURE  that it  is SENSIBLE!!",
"Vera Pektaş","August 08, 2017",,"Please Turkish subscribe!",
"Jitendra Patil","August 08, 2017",,"Excellent  and  Thank You",
"Ahmet Ergün","August 08, 2017",,bullshit,
"Yasmin Bh72","August 08, 2017",,"If you want something, TAKE IT FOR YOURSELF BECAUSE YOU CAN ACHIEVE ANYTHING YOU WANT IF YOU JUST BELIEVE AND PUT EVERY SINGLE DROP OF EFFORT INTO EVERY THING THAT YOU DO, AND YOU WILL SEE YOUR LIFE CHANGE. YOU CAN DO WHATEVER YOU ASPIRE TO - I HAVE FAITH IN YOU, IN HUMANITY AND THE WORLD. I BELIEVE IN EVERY SINGLE PERSON ON THIS PLANET, AND YOU SHOULD TOO. GO GET YOUR DREAMS AND DONT LET ANYTHING STAND IN YOUR WAY OF YOUR TRUE PASSION. PEACE 🙏🏻❤️",
Sveta,"August 08, 2017",,"06:05 <----- stop going to school?? 😂JK JK",
Sveta,"August 08, 2017",,"06:05 <----- stop going to school?? 😂JK JK",
"Shahzada Shahzaib Baig","August 08, 2017",,"Never Give up!! i have not failed. I've just found 10,000 ways that won't work!",
"Dragan Mitic","August 08, 2017",,"Morgan Freeman, yeah right...",
"Marvin Schenker","August 08, 2017",,"Agressive Competition is not the only way to achieve your goal. Teamwork has to be concidered  too.",
"Its Xhevrija","August 08, 2017",,"this made me cry",
"Olashade Abidoye","August 08, 2017",,"All you need is Jesus and deciding to pick joy, DAILY!",
"Manvendra Singh Bhati","August 08, 2017",,"i am making a commitment in front of all my millions of freind . that i would boycott everything till i don;t clear the JEE exam for which i am preparing even this system which iam using right now.",
"Ivan Zapana","August 08, 2017",,"When he said at 8:27 ""what do you do when thousand other people want exactly what you want? I couldn't avoid crying... because I thought he was telling to me =´(",
Alb,"August 08, 2017",,"now i need a demotivational video just to even me out",
Magpie,"August 08, 2017",,"Ah, how to do 'dreams' in the most capitalist way possible...",
"inel delfin","August 08, 2017",,"This is very motivational!Thank you for it!",
hellolala,"August 08, 2017",,"from 7 to 2?! dont people need sleep?!",
"Sunaid Habeeb","August 08, 2017",,"Read the Comments , u will get 1000x motivation than this video",
"Kristoffer S. Andersson","August 08, 2017",,"""If you need inspiring words, you should not do it""  - Elon Musk",
"Idanos Styles","August 08, 2017",,"This video is amaazing. I'm SO FULL of energy right now that I feel like I can do anything!!! And I know that I CAN !",
"Sub Zero","August 08, 2017",,"Turn to God, and he will reward you. There will be times he will test you, that's because he loves you.",
"Kiran Oyitti Mullankandy","August 08, 2017",,"whose is the guy in the interview @0.40sec to 1.26 min??any links to dat video",
"taut strings","August 08, 2017",,"when i saw Sun my heart skipped",
"HD HD","August 08, 2017",,"Very nice video but it's a common and standard motivational speech. ""Wish I knew at your age?""... I think nothing really new or special here. I'm sure most people heard this ""never give up"" motto at some point in their lives. And I personally would prefer working smart over working hard...",
"D OF","August 08, 2017",,"People are shaped by their environment for a long time. A recent scientific research indicate that an individuals behavior is controlled solely by their environment.  Factors such as racial bias, discrimination, lack of fair and equal opportunity and chance on work, education, health care, housing and lack of fair treatment by the judicial systems in the society shapes our personalities and  as a result our tendency to violence, disobedience to the law increases especial among young people. I know many people who have struggled most of their life, but unable to break through racial barriers to reach their dreams. But few can make it through one or two telephone calls.  This world is fucked up and it is our duty and responsibility to fight for a more just world.",
"Salaam Farhan","August 08, 2017",,"These videos dont make winners but narcissists for sure..",
"dyoutube tube","August 08, 2017",,"this video is too much american style, life is more simply and you can get happiness ,  staying humble and no popular. I have no admiration for artist, sport people etc,  i admire humbe people that give love to the humanity every day",
"daniel Pham","August 08, 2017",,"it's good, but the background music is so loud.",
"Hamada Tagabo","August 08, 2017",,"""Everyone has greatness "" It means all",
"pnyiaart sbffer","August 08, 2017",,"Quite a lot of movie crap squished into one video to make money on youtube.",
"jason kip","August 08, 2017",,"Thanks, May GOD bless you. :)",
SiXHUNNA66,"August 08, 2017",,"i want to become an olympic runner but i lost all my limbs now what?",
"Trice Pruitt","August 08, 2017",,"Thank you for this awesome video! Very inspiring. This is how the news should be. Imagine the world if it was.",
"Rose __","August 08, 2017",,"Y'all keep talking like that. That's why you're in the position you're in right now. Because of that mindset. 👏",
"Pooh Kaya","August 08, 2017",,"ahhoo! ahhoo! ahhoo! (300)",
conscious212,"August 08, 2017",,"Wow all the blue pills below",
"cry wolf","August 08, 2017",,"12 months ago I was 330lbs, I had no reason to live just for eating, I had depression, low self-esteem I was staying for days at home cause every time I go out everybody calls me names.... a motivational clip like this made by another YouTuber (fouseyTube) really changed my life... now I'm 210lbs and very close to my goal, I never been happier with my body. I encourage anyone to watch motivational videos of any types cause really *that will change someone's future*",
"More Less","August 08, 2017",,idk,
"Rocco Pennella","August 08, 2017",,"FUC&%** GOOSE BUMPS!!!!!!!!!!!!!!!!!!!!!!!! <3",
Ethan2,"August 08, 2017",,"I started bodybuilding and after 2 months I hurt my wrist in a fight and I lost my gainz in 1 month. All that hard work was lost but im back and im full throttle and ima go hard or go home. Im tired of being skinny and weak but im fixing to get strong and buff but it will take time but im gonna reach every goal I set.",
"faith Ezinwa","August 08, 2017",,"what is your purpose?...",
Shevchenko3727,"August 07, 2017",,"Am i the only one doubting this is actually Morgan Freeman",
"Adam Noor","August 07, 2017",,"Only way getting there is selling your soul to the devil....stuff that shite",
RoyalKype,"August 07, 2017",,"the ads ruin it....",
setrocer,"August 07, 2017",,"Syrian terrorist be watching this video saying they love Morgan free too",
"Simon Ravau","August 07, 2017",,"Consumerist Propaganda ! If you can imagine all that you can't see, please try to imagine the billions of people on this Earth that die beacause of people dreaming (of being CEO, popular, rich, having the biggest shitty thing,..) !",
"Pramod Kumar","August 07, 2017",,"This video really inspired me...it  explained  how one ruin or make life great .",
"Pratik Pawar","August 07, 2017",,"Your searching for true motivation. Subscribe to ""Mensutra"" That guy will lite 🔥 under your ass",
"Eugen Boos","August 07, 2017",,"It is funny how dedication and hard work is almost always related to physical achievements or sports. However, in my experience, dedication and goal setting in intellectual achievements is way harder. It is easier to run another mile when you are down, than concentrate and study for another hour after a full day of intellectual work. Maybe it is just me, but as a sportsman myself writing my diploma this is my personal experience.",
XxSalinasFinestxX,"August 07, 2017",,"This is very motivational but when you get to the top, instead of stepping on everybody else. We should help each other, there's a Very Strong and Amazing feeling you can't find anywhere else when you Help others. You will have people do evil things to you in order to get you to think that developing a Capitalistic mental is the only way to overcome those problems. That is exactly what they want you to do, they don't want to see more people climbing up the ladder. They want to preserve the power they already have but only by helping others can humanity really advance and preserve itself while also preserving the earth and everything in it.",
"Robert Martin","August 07, 2017",,"Weird its been 4 days since watching this video and im still addicted to crack cocaine",
"Pallavi Singh","August 07, 2017",,"Thanks. Truly motivating. Wake up call to the soul!",
"Jonh Edward","August 07, 2017",,"thanks, now i gonna bed to see my dreams",
feilong,"August 07, 2017",,"Money places limit on our development. Sometimes you have to buy your dream. Our system is corrupt.",
"Teo Neelix","August 07, 2017",,"I am already doomed.. :( No one can help me.",
"Thebeyame Gabatshele","August 07, 2017",,Wow!,
"Shashank Verma","August 07, 2017",,"the fact is no motivational video can motivate you lmao !!",
Beppe,"August 07, 2017",,"Further fuelling the special snowflake complex, lets have some celebrities tell us you can ""do anything"".  People should get this through their skull, you *can't* do anything, you are not special. You *will* have a job, not a career. Best thing you can do is find solace in what you have. I'm not saying don't dream, but be realistic. You are *not* 70% beast mode. You are *not* special.",
"Spanish Colony","August 07, 2017",,"Starting today I will Not Fap anymore!. Who's with me?",
"Zero Boss","August 07, 2017",,"ser davos before his smuggling days",
Crimzash,"August 07, 2017",,"Ok, I want to fly. Thank you video! Excuse me, I'm going to jump off a cliff because if I want to fly I should just believe and do it.",
"Manikanta Pasupulati","August 07, 2017",,"This change me a lot Love it",
