UserName,Date,"Star rating","Review Comment",Link
"Sir Giles","August 09, 2017",,"A BOP!!!!!",
"joli minou","August 09, 2017",,Sexy.😍,
"Corwin Rhynes","August 09, 2017",,"omg I was like waitttttt is he really going in !!!!!! ahhhhhh I cant take it!!!!!",
"Ava Wilson","August 09, 2017",,"omg i love it. you've always been so talented.",
Keanah,"August 09, 2017",,"Go Qaadir 💃🏾",
"Anu Adebiyi","August 09, 2017",,"Instant thumbs up",
"Sussie Carmicheal","August 09, 2017",,"yasssssss muvaaa!",
"Chauncey Perkins","August 09, 2017",,"Awesome! It has a Naughty by nature OPP vibe,, I love it!",
"Da Thurd","August 09, 2017",,"What I need Nicki's new single to be post Shether lool",
"Danielle Campbell","August 09, 2017",,"Right on time for these MUD DUCKS!!! 😷😷😷👌👊🙌",
"Demi D","August 09, 2017",,"Loved it!",
"dont care tbh","August 09, 2017",,"Oh this is a bop 💃🏽🕺🏽",
OfficialDanitaC,"August 09, 2017",,"Glad to see you're still doing music! Go ahead and make an album, Qaadir.",
"Amen Versace","August 09, 2017",,"AAAAAAYYYYYYYYYYYYY BITCHHHHHH",
"DC DC","August 09, 2017",,Biiiiiiiiiiiiiiiiiiiiiiiitchhhhhhhhhh,
justchickenstrips,"August 09, 2017",,"fuck a bodak bitch you dead to me i slayed you on a fuckinRivalll!",
zjaunef,"August 09, 2017",,"I luvvvvvv!!!!!!❤️❤️",
"Liam Perez","August 09, 2017",,"I was served a legendary meal 🔥🔥 so correct 👏🏼🙌🏼",
"Rodge Rodriguez","August 09, 2017",,"This gave me my fucking life!!!! On repeat boo!!! Everything I ever needed in life is in this video... keep the tracks coming",
"Kem Goodwin","August 09, 2017",,"Soooooo ummmm. .... Where motha pat at????",
astoldbytess,"August 09, 2017",,"Lmao! These lyrics... nothing less than legendary",
neighborhoodhoe,"August 09, 2017",,looove,
Kyvre,"August 09, 2017",,"Waaait this lowkey bangsss 😂😂😂😂😂🔥",
"Mongolian ASMR","August 09, 2017",,"YAAAAAAAAAAS PLEASE MAKE AN ALBUM AND PUT THIS ON SPOTIFY",
"Miillie Mesh","August 09, 2017",,"Edges? Bitch where? They've been snatched.",
goodintheory,"August 09, 2017",,"THIS. IS. EVERYTHING. Please make an album",
"SENNY D","August 09, 2017",,"Been bumping this for 2 days straight lawd I need an intervention",
"Pinkie Pie","August 09, 2017",,"Looking like her breath consistently on 100!! 😂😂",
"Pinkie Pie","August 09, 2017",,"I love you❤️❤️!!!! 🔥🔥🔥🔥😂😂",
"Jasmine Miller","August 09, 2017",,"Carti is shook.",
Sara.,"August 09, 2017",,"IM SO SHOOK RIGHT NOW. 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",
"Brucey Bruce","August 09, 2017",,"YAAAAAAAAAS SNATCH ALL THE GIRLS WIGS ! 💆🏻💆🏼💆🏽💆🏾💆🏿",
"Artistically Childish","August 09, 2017",,"WHERE IS THIS ON ITUNESSSSSSSSSS I NEED IT",
UptownDowntownNY,"August 09, 2017",,QUAKING,
"Kyseem Hines","August 09, 2017",,"Yaaaaaas qween loved this slayage!",
"Porchea Towns","August 09, 2017",,"SoA 🙌🏽🎶❤️",
Ra.Sahar.,"August 09, 2017",,"This is exactly what I needed to finish this assignment! Love it! And I want that shirt lol",
"RVVDEBOY Q","August 09, 2017",,"wow Qaadir ive been your fan for almost 8 years now, and let me say, your lyrics and flow and musical abilities have gotten so much better! :O Cant wait to see what else you put out babe!! :D <3 xoxo",
Andnotafuckwasgiven,"August 09, 2017",,"This was playing in my head at work",
"D. Jordan","August 09, 2017",,"Come Thru Q.!!",
AlcinoustheXIIth,"August 09, 2017",,"Cardi who?",
grizgummies,"August 09, 2017",,"Omggggg I don't ever want to mess wid you..... good thing I have been fallowing you from day 1 I'm da #1 fan",
"Yolanda Stith","August 09, 2017",,"love how you had fun with this",
"Cyber Faggot","August 09, 2017",,"BITCHHHH you just cured my acne",
"Anfernee Huff","August 09, 2017",,"Yass  Qaadir yasss!!!!!!!!! Serving a full meal.. I'm full and will be waiting for more",
helloandreamae,"August 09, 2017",,"""Serving us stranger things"" 😭😭I cannot 😂😂😂",
"What The Kink","August 09, 2017",,"This that throwback Qaadir!",
"Jerm D","August 09, 2017",,"Giuseppe down , louboutins, bitch I do my rounds !!!!  I got every bit of my life on that second verse and I can even tell you we're feeling it too Qaadir! Push through bro! The girls will gag !",
sofreshprettyboy,"August 09, 2017",,"YAAASSSS, VINTAGE Qaadir! 1 time for the original Tamiyan Army!!!!",
DieWharheit,"August 09, 2017",,"I definitely got into it...with that 90s vibe👏🏾😎",
"Gabby Boyd","August 09, 2017",,YASSSSSSWWSSSS!!!,
iv1908,"August 09, 2017",,"I just adore you Q!!! ❤️❤️❤️❤️❤️",
CourtneyRevolution,"August 09, 2017",,"I am SHAKEN!!! YESSSSS",
jehsuhs,"August 09, 2017",,"I love you Q!",
"Toby Metz","August 09, 2017",,"YESSS Qaadir finally returning to music. I'm too hype.",
prillen,"August 09, 2017",,"you did that! so catchy!",
"Jalen Fox","August 09, 2017",,BOP,
"Beauty By Vixxxen","August 09, 2017",,"At first when I saw the preview on IG I wasn't sure but I was gonna support it bc I love him but I must say this sounds good af n the beat is fire 🔥 !",
gigglesmansonn,"August 09, 2017",,"I LOVE THIS  I LOVE YOU KEEP PUSHIN 😘",
HRZONE2,"August 09, 2017",,"Ha! I like it Qaadir!",
Indiegirl007,"August 09, 2017",,"Yaaaaaas, yaaaaaaasss.",
AegisEpoch,"August 09, 2017",,"wheres s my wig bitch?! which way did it go",
"elle alless","August 09, 2017",,"Biiiitch your lashes are everything 😍",
Kay,"August 09, 2017",,"Ayyyeee, this is a bop, Q!! *milly rocks*",
"MIDNIGHT RAVER","August 09, 2017",,"I hope this shit go viral it's MAD LITT Q just slaaaayed all the way through at 2:19 those hand gestures had me dyinggggggg 😂😂😫 😘 😂😭👌💜💙💚💛",
jessie7601,"August 08, 2017",,"long time fan, Go Quaadir",
"Ashley rainbow","August 08, 2017",,yessss,
"z scred","August 08, 2017",,"Ayyeee a BAWP!!!",
sharebear003,"August 08, 2017",,"I'm shook",
lilsam612,"August 08, 2017",,"This is going to be my ex's ringtone 😂",
"Harry Davidson","August 08, 2017",,"I really died at least... seven times? Bitch I lost count",
ItsFever,"August 08, 2017",,"Girl I am feeling this You go boy.",
WH012Vids,"August 08, 2017",,"That was hot! Nice!",
AxiomRoyale,"August 08, 2017",,"Gawjus 😍 and I'm now booty poppin👏🏽👏🏽👏🏽",
"Janis Ian","August 08, 2017",,"I watch both you and AdrianExpression . Have you guys done a collab?",
"Rex Ganymede","August 08, 2017",,"remember, kids: _never_ piss The Queen Pin off!  you don't want that tea gettin' spilled on yuh, *burnin'* yuh (uh¡)",
"Tash B","August 08, 2017",,"Omg this right here 🙏🏾 Qaadir",
sbdezines,"August 08, 2017",,"🗣I WASN'T READYYYYYYYYYYYY! YASSS!",
"VANITY TRUTH","August 08, 2017",,"I can dig this though Qaadir. OK Now.  #slayedonarrival #qaadirhoward",
"Alex Hernandezalex","August 08, 2017",,"Bitch imma be bumpin this in the car with my mom and we gonna slay all these doodoo jalapeño poppers.",
"lol bishplz.","August 08, 2017",,🔥🔥🔥🔥🔥,
"Alex Hernandezalex","August 08, 2017",,"Girl and she did slay me on arrival 🔪😵",
"Baiyina Muhammad","August 08, 2017",,"lolololLOLOL OMG OMG OMG ..  hilarious.. awesome diss track . Nice!!!!",
"9,999damage","August 08, 2017",,"YAAAAAS!.Got my life. I'm hype. 🔥You are hella good. Now I can finally share some song titles for u 😊 1. The Girls 2. No Ma'am, No God 3. Tried It 4. Snatched Wig 5. Legendary 6. Dollar hauls 7. Planet Goo 8. The best will always come through",
GANYMEDE,"August 08, 2017",,yessss,
"mzurilove beauty & fragrances","August 08, 2017",,"Jalapeños.... tee hee!",
"TT Taylor","August 08, 2017",,"Yasssss honeyyy",
"DTOWN BABY","August 08, 2017",,"i LOOOOOOVE THIS!",
